[local] 5 -7 60.0 (best c=32.0, g=0.0078125, rate=60.0)
[local] -1 -7 60.0 (best c=0.5, g=0.0078125, rate=60.0)
[local] 5 -1 90.0 (best c=32.0, g=0.5, rate=90.0)
[local] -1 -1 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 11 -7 90.0 (best c=32.0, g=0.5, rate=90.0)
[local] 11 -1 90.0 (best c=32.0, g=0.5, rate=90.0)
[local] 5 -13 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] -1 -13 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 11 -13 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] -3 -7 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] -3 -1 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] -3 -13 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 5 1 80.0 (best c=32.0, g=0.5, rate=90.0)
[local] -1 1 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 11 1 80.0 (best c=32.0, g=0.5, rate=90.0)
[local] -3 1 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 9 -7 90.0 (best c=32.0, g=0.5, rate=90.0)
[local] 9 -1 90.0 (best c=32.0, g=0.5, rate=90.0)
[local] 9 -13 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 9 1 80.0 (best c=32.0, g=0.5, rate=90.0)
[local] 5 -11 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] -1 -11 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 11 -11 90.0 (best c=32.0, g=0.5, rate=90.0)
[local] -3 -11 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 9 -11 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 3 -7 60.0 (best c=32.0, g=0.5, rate=90.0)
[local] 3 -1 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 -13 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 1 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 -11 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 5 -5 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] -1 -5 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 11 -5 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] -3 -5 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 9 -5 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 -5 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 -7 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 -1 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 -13 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 1 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 -11 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 -5 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 5 -15 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] -1 -15 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 11 -15 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] -3 -15 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 9 -15 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 -15 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 -15 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -7 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -1 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -13 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 1 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -11 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -5 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -15 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 5 3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] -1 3 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 11 3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] -3 3 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 9 3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 3 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -7 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -1 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -13 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 1 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -11 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -5 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -15 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 5 -9 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] -1 -9 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 11 -9 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] -3 -9 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 9 -9 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 -9 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 -9 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -9 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -9 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -7 60.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -1 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 1 -13 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 1 1 80.0 (best c=2.0, g=0.5, rate=90.0)
[local] 1 -11 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 1 -5 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 1 -15 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 1 3 80.0 (best c=2.0, g=0.5, rate=90.0)
[local] 1 -9 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 5 -3 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] -1 -3 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 11 -3 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] -3 -3 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 9 -3 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 3 -3 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 15 -3 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] -5 -3 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 7 -3 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 1 -3 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 -7 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 -1 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 -13 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 1 80.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 -11 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 -5 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 -15 60.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 3 80.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 -9 90.0 (best c=2.0, g=0.5, rate=90.0)
[local] 13 -3 90.0 (best c=2.0, g=0.5, rate=90.0)
2.0 0.5 90.0
.*
optimization finished, #iter = 220
nu = 0.454550
obj = -62.226288, rho = 0.431168
nSV = 120, nBSV = 12
Total nSV = 120
Accuracy = 90.4762% (19/21) (classification)
