[local] 5 -7 40.0 (best c=32.0, g=0.0078125, rate=40.0)
[local] -1 -7 50.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 5 -1 40.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] -1 -1 50.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 11 -7 20.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 11 -1 20.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 5 -13 40.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] -1 -13 50.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 11 -13 20.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] -3 -7 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 -1 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 -13 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 5 1 40.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -1 1 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 11 1 20.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 1 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -7 20.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -1 20.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -13 20.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 1 20.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 5 -11 40.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -1 -11 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 11 -11 20.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 -11 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -11 20.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 3 -7 60.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 3 -1 60.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 3 -13 60.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 3 1 60.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 3 -11 60.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 5 -5 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -1 -5 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 11 -5 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -3 -5 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 9 -5 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 3 -5 60.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 15 -7 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 15 -1 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 15 -13 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 15 1 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 15 -11 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 15 -5 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 5 -15 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -1 -15 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 11 -15 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -3 -15 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 9 -15 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 3 -15 60.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 15 -15 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -5 -7 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -5 -1 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -5 -13 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -5 1 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -5 -11 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -5 -5 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -5 -15 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 5 3 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -1 3 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 11 3 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -3 3 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 9 3 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 3 3 60.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 15 3 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -5 3 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 7 -7 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 7 -1 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 7 -13 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 7 1 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 7 -11 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 7 -5 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 7 -15 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 7 3 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 5 -9 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -1 -9 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 11 -9 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -3 -9 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 9 -9 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 3 -9 60.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 15 -9 20.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] -5 -9 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 7 -9 40.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 1 -7 50.0 (best c=8.0, g=0.0078125, rate=60.0)
[local] 1 -1 50.0 (best c=8.0, g=0.0078125, rate=60.0)
