[local] 5 -7 90.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -1 -7 90.0 (best c=0.5, g=0.0078125, rate=90.0)
[local] 5 -1 90.0 (best c=0.5, g=0.0078125, rate=90.0)
[local] -1 -1 80.0 (best c=0.5, g=0.0078125, rate=90.0)
[local] 11 -7 90.0 (best c=0.5, g=0.0078125, rate=90.0)
[local] 11 -1 90.0 (best c=0.5, g=0.0078125, rate=90.0)
[local] 5 -13 90.0 (best c=0.5, g=0.0078125, rate=90.0)
[local] -1 -13 90.0 (best c=0.5, g=0.0078125, rate=90.0)
[local] 11 -13 90.0 (best c=0.5, g=0.0078125, rate=90.0)
[local] -3 -7 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -3 -1 80.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -3 -13 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 5 1 80.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -1 1 80.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 11 1 80.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -3 1 80.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 9 -7 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 9 -1 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 9 -13 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 9 1 80.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 5 -11 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -1 -11 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 11 -11 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -3 -11 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 9 -11 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 3 -7 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 3 -1 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 3 -13 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 3 1 80.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 3 -11 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 5 -5 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -1 -5 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 11 -5 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -3 -5 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 9 -5 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 3 -5 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 15 -7 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 15 -1 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 15 -13 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 15 1 80.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 15 -11 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 15 -5 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 5 -15 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -1 -15 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 11 -15 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -3 -15 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 9 -15 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 3 -15 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] 15 -15 90.0 (best c=0.125, g=0.0078125, rate=90.0)
[local] -5 -7 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] -5 -1 80.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] -5 -13 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] -5 1 80.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] -5 -11 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] -5 -5 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] -5 -15 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 5 3 60.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] -1 3 60.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 11 3 60.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] -3 3 60.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 9 3 60.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 3 3 60.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 15 3 60.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] -5 3 60.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 7 -7 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 7 -1 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 7 -13 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 7 1 80.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 7 -11 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
[local] 7 -5 90.0 (best c=0.03125, g=0.0078125, rate=90.0)
